0,0
4.91092,0.939629
9.86963,1.58084
12.9688,5.50449
17.9647,5.7082
21.9094,8.78056
21.4236,13.7569
25.599,16.5077
28.737,20.4003
25.9004,24.5178
29.7228,27.7411
33.2007,31.3333
36.6786,34.9256
32.846,38.1367
28.9929,41.3231
28.1237,46.247
24.1148,49.2351
26.5765,53.5871
28.7252,58.1019
31.1067,62.4983
35.6371,64.6139
40.1675,66.7294
43.6546,70.3128
46.9384,74.0832
51.6283,75.8167
55.0107,79.499
59.3119,82.0485
62.9486,78.6172
67.5572,80.5564
71.9583,78.1835
76.141,80.923
80.9048,79.4043
84.1615,83.1982
87.4181,86.9922
90,90
