0,0
0.72609,4.947
4.31594,8.42737
9.2683,9.11588
14.139,7.98613
16.0791,12.5944
20.7783,14.3023
25.623,13.0659
29.8114,15.7968
32.9612,19.6799
35.9826,23.6638
40.4478,21.4139
45.2018,19.8651
48.3878,23.7186
51.0464,27.9532
55.5312,25.7428
57.8947,30.1489
60.2583,34.555
58.8421,39.3502
62.2175,43.0389
59.5912,47.2936
63.4517,50.471
66.2394,54.6218
71.0569,55.9603
75.0198,59.0092
79.5487,56.8905
83.9354,59.2898
87.8897,62.3497
90.0329,66.8671
90.0258,71.8671
90.0187,76.8671
90.0116,81.8671
90.0045,86.8671
90,90
